,Poem Title,line
410,LEMUEL KAYHART,"A sister and a darling boy,"
411,LEMUEL KAYHART,And oh! it thrills my soul with joy—
412,LEMUEL KAYHART,
413,LEMUEL KAYHART,"To think of meeting them again,"
414,LEMUEL KAYHART,Beyond this world of care and pain;
415,LEMUEL KAYHART,"Glorious anthems there will rise,"
416,LEMUEL KAYHART,When I get home beyond the skies.
417,LEMUEL KAYHART,
418,LEMUEL KAYHART,"Beautiful land, land of light,"
419,LEMUEL KAYHART,The angels robed in pearly white;
420,LEMUEL KAYHART,"My very soul within me sighs,"
421,LEMUEL KAYHART,To gain that land beyond the skies.
422,LEMUEL KAYHART,
423,LEMUEL KAYHART,"No troubles there will mar our peace,"
424,LEMUEL KAYHART,Our pleasures there will never cease;
425,LEMUEL KAYHART,"No tears of grief will dim our eyes,"
426,LEMUEL KAYHART,In that bright land beyond the skies.
427,LEMUEL KAYHART,
428,LEMUEL KAYHART,"Beautiful land with streets of gold,"
429,LEMUEL KAYHART,Thy splendors half can ne’er be told;
430,LEMUEL KAYHART,When shall my soul to thee arise—
431,LEMUEL KAYHART,Jehovah’s throne beyond the skies.
432,LEMUEL KAYHART,
433,LEMUEL KAYHART,This life is but a troubled dream;
434,LEMUEL KAYHART,When shall I cross cold Jordan’s stream?
435,LEMUEL KAYHART,"Oh! hasten death, my soul replies,"
436,LEMUEL KAYHART,To waft me home beyond the skies.
437,LEMUEL KAYHART,
438,LEMUEL KAYHART,
439,LEMUEL KAYHART,
440,LEMUEL KAYHART,
441,A PRAYER,A PRAYER
442,A PRAYER,
443,A PRAYER,
444,A PRAYER,"O Lord, our Father, hear us now,"
445,A PRAYER,While on our bended knees we bow;
446,A PRAYER,"Look down, O Lord, in tender love,"
447,A PRAYER,Prepare us all to meet above.
448,A PRAYER,
449,A PRAYER,"O Lord, our Father, hear us pray,"
450,A PRAYER,Watch over us from day to day;
451,A PRAYER,"Hear us in our humble prayer,"
452,A PRAYER,O keep us safely in Thy care.
453,A PRAYER,
454,A PRAYER,"O help us, Lord, to pray aright,"
455,A PRAYER,And keep us holy in Thy sight;
456,A PRAYER,Protect us with Thy mighty arm
457,A PRAYER,And keep us from temptation’s harm.
458,A PRAYER,
459,A PRAYER,"Bless and make us pure within,"
460,A PRAYER,"Wash us, cleanse us free from sin;"
461,A PRAYER,"Protect us with Thy mighty hand,"
462,A PRAYER,Prepare us for the promised land.
463,A PRAYER,
464,A PRAYER,"O Lord, come down in mighty power,"
465,A PRAYER,Revive us all this very hour;
466,A PRAYER,"O lift us from this pit of mire,"
467,A PRAYER,And fill our souls with heavenly fire.
468,A PRAYER,
469,A PRAYER,"Come with love’s refreshing showers,"
470,A PRAYER,And kindle these cold hearts of ours;
471,A PRAYER,"O guide us in the narrow path,"
472,A PRAYER,Lord save us from Thy coming wrath.
473,A PRAYER,
474,A PRAYER,And when we leave this world of strife
475,A PRAYER,O give us all eternal life;
476,A PRAYER,"Arm us, Lord, with wings of love,"
477,A PRAYER,To leave this world and fly above.
478,A PRAYER,
479,A PRAYER,"Into Thy care, O Lord, we leave,"
480,A PRAYER,"In peace, O Lord, our souls receive;"
481,A PRAYER,"We ask it all, O Lord, we may,"
482,A PRAYER,Through Him Who taught us all to say:
483,A PRAYER,
484,A PRAYER,"Our Father, Who art in heaven, we pray,"
485,A PRAYER,Hallowed be Thy name this day;
486,A PRAYER,"Thy kingdom come, Thy will be done,"
487,A PRAYER,In earth and up in heaven as one.
488,A PRAYER,
489,A PRAYER,"Give us this day our daily bread,"
490,A PRAYER,’Tis from Thy bounties all are fed;
491,A PRAYER,"Our trespasses, O Lord, forgive,"
492,A PRAYER,As we our trespassers forgive.
493,A PRAYER,
494,A PRAYER,"Dear Lord, with tempters leave us not,"
495,A PRAYER,Deliver us from evil’s plot;
496,A PRAYER,"Thy name shall have the glory then,"
497,A PRAYER,Forever and for aye. Amen.
498,A PRAYER,
499,A PRAYER,
500,A PRAYER,
501,A PRAYER,
502,IN MEMORIAM[2],IN MEMORIAM[2]
503,IN MEMORIAM[2],
504,IN MEMORIAM[2],
505,IN MEMORIAM[2],"My bosom swells with fervent grief,"
506,IN MEMORIAM[2],"My heart aches to its core,"
507,IN MEMORIAM[2],"See him struggling, he is dying,"
508,IN MEMORIAM[2],Our Walter is no more!
509,IN MEMORIAM[2],
510,IN MEMORIAM[2],*       *       *       *       *
511,IN MEMORIAM[2],
512,IN MEMORIAM[2],When we laid him ’neath the turf
513,IN MEMORIAM[2],"In the cold, cold ground,"
514,IN MEMORIAM[2],A cloud of darkness seemed to rise
515,IN MEMORIAM[2],Which covered all around.
516,IN MEMORIAM[2],
517,IN MEMORIAM[2],"But when I looked up at the stars,"
518,IN MEMORIAM[2],"Beyond the heavenly dome,"
519,IN MEMORIAM[2],There with loving outstretched arms
520,IN MEMORIAM[2],Angels welcomed Walter home!
521,IN MEMORIAM[2],
522,IN MEMORIAM[2],"Farewell, Walter, farewell darling,"
523,IN MEMORIAM[2],"Life is but a barren strand,"
524,IN MEMORIAM[2],"Soon we’ll meet thee, happy child,"
525,IN MEMORIAM[2],In that far-off happy land!
526,IN MEMORIAM[2],
527,IN MEMORIAM[2],Footnote 2:
528,IN MEMORIAM[2],
529,IN MEMORIAM[2],"Verses written upon the death of J. Walter Kayhart, son of Lemuel and"
530,IN MEMORIAM[2],"Mary Kayhart, who died August 15th, 1875."
531,IN MEMORIAM[2],
532,IN MEMORIAM[2],
533,IN MEMORIAM[2],
534,IN MEMORIAM[2],
535,IN MEMORIAM[3],IN MEMORIAM[3]
536,IN MEMORIAM[3],
537,IN MEMORIAM[3],
538,IN MEMORIAM[3],"Now I lay me down to rest,"
539,IN MEMORIAM[3],While the sun is in the west;
540,IN MEMORIAM[3],"When the stars all brightly shine,"
541,IN MEMORIAM[3],"If it be the will of Thine,"
542,IN MEMORIAM[3],"Watch and guard me, Lord, I pray,"
543,IN MEMORIAM[3],Through the night as through the day;
544,IN MEMORIAM[3],"Guard me, Lord, Thou knowest best,"
545,IN MEMORIAM[3],While I lay me down to rest.
546,IN MEMORIAM[3],
547,IN MEMORIAM[3],"Now I lay me down to rest,"
548,IN MEMORIAM[3],Parting friends my lips have pressed;
549,IN MEMORIAM[3],"Farewell, kindred here below,"
550,IN MEMORIAM[3],"Jesus calls me, I must go."
551,IN MEMORIAM[3],Not my will but Thine be done;
552,IN MEMORIAM[3],"When my earthly race is run,"
553,IN MEMORIAM[3],"And life’s sun sinks in the west,"
554,IN MEMORIAM[3],Calmly lay me down to rest.
555,IN MEMORIAM[3],
556,IN MEMORIAM[3],"Now I lay me down to rest,"
557,IN MEMORIAM[3],"Help me, Lord, to stand the test;"
558,IN MEMORIAM[3],"When I’m laid upon the bier,"
559,IN MEMORIAM[3],In the grave there’ll be no fear.
560,IN MEMORIAM[3],"When these throbbing pulses cease,"
561,IN MEMORIAM[3],"When with God I’ve made my peace,"
562,IN MEMORIAM[3],"Closely in the cold earth pressed,"
563,IN MEMORIAM[3],Calmly lay me down to rest.
564,IN MEMORIAM[3],
565,IN MEMORIAM[3],"Now I lay me down to rest,"
566,IN MEMORIAM[3],May my soul be doubly blest;
567,IN MEMORIAM[3],"Though my flesh and bones decay,"
568,IN MEMORIAM[3],"’Neath the earth’s cold clods of clay,"
